2018-07-17 03:12:39 configure openssl:amd64 1.1.0f-3+deb9u2 <none>
2018-07-17 03:12:39 status unpacked openssl:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:39 status unpacked openssl:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:39 status half-configured openssl:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:39 status installed openssl:amd64 1.1.0f-3+deb9u2
2018-07-17 03:12:39 configure libffi6:amd64 3.2.1-6 <none>
2018-07-17 03:12:39 status unpacked libffi6:amd64 3.2.1-6
2018-07-17 03:12:39 status half-configured libffi6:amd64 3.2.1-6
2018-07-17 03:12:39 status installed libffi6:amd64 3.2.1-6
2018-07-17 03:12:39 configure libkeyutils1:amd64 1.5.9-9 <none>
2018-07-17 03:12:39 status unpacked libkeyutils1:amd64 1.5.9-9
2018-07-17 03:12:39 status half-configured libkeyutils1:amd64 1.5.9-9
2018-07-17 03:12:39 status installed libkeyutils1:amd64 1.5.9-9
2018-07-17 03:12:39 configure ca-certificates:all 20161130+nmu1+deb9u1 <none>
2018-07-17 03:12:39 status unpacked ca-certificates:all 20161130+nmu1+deb9u1
2018-07-17 03:12:39 status half-configured ca-certificates:all 20161130+nmu1+deb9u1
2018-07-17 03:12:43 status installed ca-certificates:all 20161130+nmu1+deb9u1
2018-07-17 03:12:43 status triggers-pending ca-certificates:all 20161130+nmu1+deb9u1
2018-07-17 03:12:43 configure netbase:all 5.4 <none>
2018-07-17 03:12:43 status unpacked netbase:all 5.4
2018-07-17 03:12:43 status unpacked netbase:all 5.4
2018-07-17 03:12:43 status unpacked netbase:all 5.4
2018-07-17 03:12:43 status unpacked netbase:all 5.4
2018-07-17 03:12:43 status half-configured netbase:all 5.4
2018-07-17 03:12:43 status installed netbase:all 5.4
2018-07-17 03:12:43 configure libidn2-0:amd64 0.16-1+deb9u1 <none>
2018-07-17 03:12:43 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2018-07-17 03:12:43 status half-configured libidn2-0:amd64 0.16-1+deb9u1
2018-07-17 03:12:43 status installed libidn2-0:amd64 0.16-1+deb9u1
2018-07-17 03:12:43 configure libpsl5:amd64 0.17.0-3 <none>
2018-07-17 03:12:43 status unpacked libpsl5:amd64 0.17.0-3
2018-07-17 03:12:43 status half-configured libpsl5:amd64 0.17.0-3
2018-07-17 03:12:43 status installed libpsl5:amd64 0.17.0-3
2018-07-17 03:12:43 configure libkrb5support0:amd64 1.15-1+deb9u1 <none>
2018-07-17 03:12:43 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 status half-configured libkrb5support0:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 status installed libkrb5support0:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 configure libhogweed4:amd64 3.3-1+b2 <none>
2018-07-17 03:12:43 status unpacked libhogweed4:amd64 3.3-1+b2
2018-07-17 03:12:43 status half-configured libhogweed4:amd64 3.3-1+b2
2018-07-17 03:12:43 status installed libhogweed4:amd64 3.3-1+b2
2018-07-17 03:12:43 configure libp11-kit0:amd64 0.23.3-2 <none>
2018-07-17 03:12:43 status unpacked libp11-kit0:amd64 0.23.3-2
2018-07-17 03:12:43 status half-configured libp11-kit0:amd64 0.23.3-2
2018-07-17 03:12:43 status installed libp11-kit0:amd64 0.23.3-2
2018-07-17 03:12:43 configure libk5crypto3:amd64 1.15-1+deb9u1 <none>
2018-07-17 03:12:43 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 status half-configured libk5crypto3:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 status installed libk5crypto3:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 configure libgnutls30:amd64 3.5.8-5+deb9u3 <none>
2018-07-17 03:12:43 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-07-17 03:12:43 status half-configured libgnutls30:amd64 3.5.8-5+deb9u3
2018-07-17 03:12:43 status installed libgnutls30:amd64 3.5.8-5+deb9u3
2018-07-17 03:12:43 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1 <none>
2018-07-17 03:12:43 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-07-17 03:12:43 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-07-17 03:12:43 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-07-17 03:12:43 configure libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2 <none>
2018-07-17 03:12:43 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:43 status half-configured libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:43 status installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-07-17 03:12:43 configure wget:amd64 1.18-5+deb9u2 <none>
2018-07-17 03:12:43 status unpacked wget:amd64 1.18-5+deb9u2
2018-07-17 03:12:43 status unpacked wget:amd64 1.18-5+deb9u2
2018-07-17 03:12:43 status half-configured wget:amd64 1.18-5+deb9u2
2018-07-17 03:12:43 status installed wget:amd64 1.18-5+deb9u2
2018-07-17 03:12:43 configure libkrb5-3:amd64 1.15-1+deb9u1 <none>
2018-07-17 03:12:43 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 status half-configured libkrb5-3:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 status installed libkrb5-3:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 configure libgssapi-krb5-2:amd64 1.15-1+deb9u1 <none>
2018-07-17 03:12:43 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 status half-configured libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 status installed libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-07-17 03:12:43 configure libcurl3:amd64 7.52.1-5+deb9u6 <none>
2018-07-17 03:12:43 status unpacked libcurl3:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:43 status half-configured libcurl3:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:43 status installed libcurl3:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:43 configure curl:amd64 7.52.1-5+deb9u6 <none>
2018-07-17 03:12:43 status unpacked curl:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:43 status half-configured curl:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:43 status installed curl:amd64 7.52.1-5+deb9u6
2018-07-17 03:12:43 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-07-17 03:12:43 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-07-17 03:12:43 status installed libc-bin:amd64 2.24-11+deb9u3
2018-07-17 03:12:43 trigproc ca-certificates:all 20161130+nmu1+deb9u1 <none>
2018-07-17 03:12:43 status half-configured ca-certificates:all 20161130+nmu1+deb9u1
